Branch,TaxState,ShiptoCity,ShiptoZip,County,TaxRate,StateRate,CountyRate,CityRate,SpecialRate,TaxableTotal,StateTax,Tax,CountyTax,CityTax,SpecialTax,DateFilled,OrderTotal,ItemTotal,Shipping,TallyTax,ItemPlusShipping
OGS/MT,NH,Madison,3849,Carroll,0,0.045,0,0,0,55.34,2.4903,0,0,0,0,December 2022,0,55.34,0,2.49,0
OGS/MT,NY,High Falls,12440,Ulster,0,0.08,0.04,0,0,236.6,18.928,0,9.464,0,0,December 2022,0,174.82,61.77,18.93,236.59
OGS/MT,CT,Newtown,6470,Fairfield,0,0.0635,0,0,0,121.48,7.71398,0,0,0,0,December 2022,0,92.47,29,7.71,121.47
OGS/MT,ME,Whitefield,4353,Lincoln,0.055,0.055,0,0,0,91.91,5.05505,5.05505,0,0,0,December 2022,0,91.91,0,5.06,0
OGS/MT,NJ,Newton,7860,Sussex,0,0.06625,0,0,0,23.75,1.5734375,0,0,0,0,December 2022,0,23.75,0,1.57,23.75
OGS/MT,CA,Whittier,90605,Los Angeles,0,0,0,0,0,296.11,0,0,0,0,0,December 2022,0,284.11,12,0,0
OGS/MT,MA,Royalston,1368,Worcester,0,0.0625,0,0,0,15.2,0.95,0,0,0,0,December 2022,0,15.2,0,0.95,0
OGS/MT,VA,Winchester,22603,Frederick,0,0.053,0.01,0,0,189,10.017,0,1.89,0,0,December 2022,0,189,29,10.02,0
OGS/MT,MA,Orange,1364,Franklin,0,0.0625,0,0,0,58.43,3.651875,0,0,0,0,December 2022,0,58.42,0,3.65,0
OGS/MT,VT,South Pomfret,5067,Windsor,0,0.06,0,0,0,28.5,1.71,0,0,0,0,December 2022,0,16.5,12,1.71,28.5
OGS/MT,ME,Dixfield,4224,Oxford,0.055,0.055,0,0,0,124.43,6.84365,6.84365,0,0,0,December 2022,0,124.42,0,6.84,0
OGS/MT,MN,GrandMarais,55604,500 506 Cook,0,0.08375,0.01,0,0.005,128.37,10.7509875,0,1.2837,0,0.64185,December 2022,0,116.36,12,10.75,128.36
OGS/MT,OH,Pomaroy,45769,Meigs,0,0.0725,0.015,0,0,45.36,3.2886,0,0.6804,0,0,December 2022,0,45.36,0,3.29,45.36
OGS/MT,WA,805 Woodland,98674,800 Cowlitz,0,0.079,0.013,0.014,0,178.88,14.13152,0,2.32544,2.50432,0,December 2022,0,178.87,0,14.13,178.87
