TaxState,County,ShiptoCity,SUM of ItemPlusShipping,SUM of TaxableTotal,SUM of TallyTax,SUM of StateTax,SUM of CountyTax,SUM of CityTax,SUM of SpecialTax
,Lyon,460 Marshall,50.50,51,3.72,3.47,0.00,0.25,0.00
,,Ghent,88.75,89,6.10,6.16,0.00,0.00,0.00
,Lyon Total,,139.25,139,9.82,9.64,0.00,0.25,0.00
,Marshall,Grygla,40.50,41,2.99,2.84,0.41,0.00,0.00
,Marshall Total,,40.50,41,2.99,2.84,0.41,0.00,0.00
,Martin,Trimont,24.00,24,1.65,1.65,0.00,0.00,0.00
,Martin Total,,24.00,24,1.65,1.65,0.00,0.00,0.00
,Meeker,Litchfield,60.00,60,4.13,4.13,0.00,0.00,0.00
,,SouthHaven,76.75,77,5.85,5.85,0.00,0.38,0.19
,Meeker Total,,136.75,137,9.98,9.98,0.00,0.38,0.19
,Pope,Cyrus,56.30,56,3.87,3.87,0.00,0.00,0.00
,Pope Total,,56.30,56,3.87,3.87,0.00,0.00,0.00
,Rock,Magnolia,33.95,34,2.33,2.33,0.00,0.00,0.00
,Rock Total,,33.95,34,2.33,2.33,0.00,0.00,0.00
,Sibley,GreenIsle,186.73,187,12.84,12.84,0.00,0.00,0.00
,Sibley Total,,186.73,187,12.84,12.84,0.00,0.00,0.00
,Swift,Appleton,51.00,51,3.51,3.51,0.00,0.00,0.00
,Swift Total,,51.00,51,3.51,3.51,0.00,0.00,0.00
MN Total,,,18277.30,"16,078",1218.96,1110.85,60.69,31.57,23.50
